name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation,major_classification,subclass_category,country,country_abrv,pop_density_km_squared,pop_density_mi_squared,1950_pop_thousands,2000_pop_thousands,2015_pop_thousands
Sayh al Uhaymir 406,35479,Valid,Eucrite,30.92,Found,2005.0,20.06413,56.5339,"(20.06413, 56.5339)",Achondrite,Eucrite,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 407,35696,Valid,H4,720.2,Found,2005.0,21.00345,57.15368,"(21.00345, 57.15368)",Chondrite,H,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 408,35697,Valid,L5,369.1,Found,2005.0,20.910220000000002,56.902280000000005,"(20.91022, 56.90228)",Chondrite,L,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 409,35698,Valid,H5,120.81,Found,2005.0,20.91422,56.8861,"(20.91422, 56.8861)",Chondrite,H,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 410,35699,Valid,L4,455.7,Found,2005.0,20.91212,56.84697,"(20.91212, 56.84697)",Chondrite,L,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 411,35700,Valid,L5-6,42.94,Found,2005.0,21.00572,57.03185,"(21.00572, 57.03185)",Chondrite,L,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 412,35701,Valid,L5,212.28,Found,2005.0,20.0093,56.50733,"(20.0093, 56.50733)",Chondrite,L,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 413,35702,Valid,H6,81.14,Found,2005.0,19.997329999999998,56.5352,"(19.99733, 56.5352)",Chondrite,H,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 414,35703,Valid,H5,410.31,Found,2005.0,19.99653,56.5261,"(19.99653, 56.5261)",Chondrite,H,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 415,35704,Valid,H5,1212.5,Found,2005.0,19.997020000000003,56.512119999999996,"(19.99702, 56.51212)",Chondrite,H,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 416,35705,Valid,H4,293.6,Found,2005.0,20.043029999999998,56.57788000000001,"(20.04303, 56.57788)",Chondrite,H,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 417,35706,Valid,H5,19.46,Found,2005.0,20.27962,56.50845,"(20.27962, 56.50845)",Chondrite,H,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 418,35707,Valid,L5,59.8,Found,2005.0,20.265079999999998,56.503,"(20.26508, 56.503)",Chondrite,L,Oman,OM,16.0,6.0,456,2538,4110
